stem,detector,bin_name,severity,n_gt,recall
BD_Baidu_332,yolo_nano,heavy,0.7376083135604858,17,0.0
BD_Baidu_338,yolo_nano,heavy,0.6033002138137817,15,0.06666666666666667
BD_Baidu_347,yolo_nano,heavy,0.6485500335693359,5,0.4
BD_Baidu_355,yolo_nano,heavy,0.6066855788230896,8,0.0
BD_Baidu_375,yolo_nano,heavy,0.6392470598220825,2,1.0
BD_Baidu_383,yolo_nano,heavy,0.4898849725723266,8,0.75
BD_Baidu_385,yolo_nano,heavy,0.5508279204368591,2,0.0
BD_Baidu_388,yolo_nano,heavy,0.6534979343414307,6,0.0
BD_Baidu_389,yolo_nano,heavy,0.4471226334571838,10,0.2
BD_Baidu_391,yolo_nano,heavy,0.5550141334533691,13,0.7692307692307693
BD_Baidu_397,yolo_nano,heavy,0.6362638473510742,3,0.6666666666666666
BD_Baidu_410,yolo_nano,heavy,0.6261348724365234,2,0.5
BD_Baidu_424,yolo_nano,heavy,0.688198447227478,16,0.4375
BD_Baidu_428,yolo_nano,heavy,0.6203415393829346,7,0.2857142857142857
BD_Baidu_451,yolo_nano,heavy,0.4424344301223755,7,0.42857142857142855
BD_Baidu_461,yolo_nano,heavy,0.4503593444824219,12,0.0
BD_Baidu_464,yolo_nano,heavy,0.8128570914268494,12,0.0
BD_Baidu_476,yolo_nano,heavy,0.811652660369873,9,0.0
BD_Baidu_481,yolo_nano,heavy,0.7333604097366333,1,0.0
BD_Baidu_486,yolo_nano,heavy,0.686519980430603,10,0.0
BD_Bing_013,yolo_nano,heavy,0.686427116394043,11,0.36363636363636365
BD_Bing_04,yolo_nano,heavy,0.7016099691390991,4,0.5
BD_Bing_042,yolo_nano,heavy,0.5361275672912598,18,0.4444444444444444
BD_Bing_068,yolo_nano,heavy,0.7840315103530884,13,0.3076923076923077
BD_Bing_080,yolo_nano,heavy,0.5063102841377258,23,0.43478260869565216
BD_Bing_084,yolo_nano,heavy,0.5826075077056885,4,0.0
BD_Bing_091,yolo_nano,heavy,0.5730381011962891,5,0.8
BD_Bing_096,yolo_nano,heavy,0.6492705345153809,13,0.38461538461538464
BD_Bing_097,yolo_nano,heavy,0.715224027633667,20,0.0
BD_Bing_18,yolo_nano,heavy,0.7289648056030273,3,0.0
BD_Bing_195,yolo_nano,heavy,0.8151928186416626,18,0.0
BD_Bing_216,yolo_nano,heavy,0.5216437578201294,57,0.017543859649122806
BD_Bing_23,yolo_nano,heavy,0.6649996042251587,3,0.6666666666666666
BD_Bing_231,yolo_nano,heavy,0.6254760026931763,17,0.058823529411764705
BD_Bing_232,yolo_nano,heavy,0.5494654178619385,117,0.08547008547008547
BD_Bing_237,yolo_nano,heavy,0.6351132988929749,7,0.2857142857142857
BD_Bing_26,yolo_nano,heavy,0.5597838163375854,16,0.0
BD_Bing_302,yolo_nano,heavy,0.6660809516906738,13,0.5384615384615384
BD_Bing_303,yolo_nano,heavy,0.7180651426315308,1,0.0
BD_Bing_308,yolo_nano,heavy,0.7354388236999512,3,0.3333333333333333
BD_Bing_331,yolo_nano,light,0.2887611389160156,14,1.0
