filename,scene,condition,beta,severity
frankfurt_000001_020693_leftImg8bit.png,frankfurt_000001_020693,clear,0.0,0.2390307188034057
frankfurt_000001_021406_leftImg8bit.png,frankfurt_000001_021406,clear,0.0,0.2127498239278793
frankfurt_000001_021825_leftImg8bit.png,frankfurt_000001_021825,clear,0.0,0.1955709606409073
frankfurt_000001_023235_leftImg8bit.png,frankfurt_000001_023235,clear,0.0,0.1953061074018478
frankfurt_000001_023369_leftImg8bit.png,frankfurt_000001_023369,clear,0.0,0.1792034655809402
frankfurt_000001_023769_leftImg8bit.png,frankfurt_000001_023769,clear,0.0,0.2486682683229446
frankfurt_000001_024927_leftImg8bit.png,frankfurt_000001_024927,clear,0.0,0.229903370141983
frankfurt_000001_025512_leftImg8bit.png,frankfurt_000001_025512,clear,0.0,0.219839334487915
frankfurt_000001_025713_leftImg8bit.png,frankfurt_000001_025713,clear,0.0,0.2148218303918838
frankfurt_000001_025921_leftImg8bit.png,frankfurt_000001_025921,clear,0.0,0.2223721742630005
frankfurt_000001_027325_leftImg8bit.png,frankfurt_000001_027325,clear,0.0,0.3799295127391815
frankfurt_000001_028232_leftImg8bit.png,frankfurt_000001_028232,clear,0.0,0.2163133323192596
frankfurt_000001_028335_leftImg8bit.png,frankfurt_000001_028335,clear,0.0,0.2012384086847305
frankfurt_000001_028590_leftImg8bit.png,frankfurt_000001_028590,clear,0.0,0.2077875137329101
frankfurt_000001_028854_leftImg8bit.png,frankfurt_000001_028854,clear,0.0,0.2153271287679672
frankfurt_000001_029086_leftImg8bit.png,frankfurt_000001_029086,clear,0.0,0.1790438443422317
frankfurt_000001_029236_leftImg8bit.png,frankfurt_000001_029236,clear,0.0,0.2169122397899627
frankfurt_000001_029600_leftImg8bit.png,frankfurt_000001_029600,clear,0.0,0.2156414985656738
frankfurt_000001_030067_leftImg8bit.png,frankfurt_000001_030067,clear,0.0,0.2433146089315414
frankfurt_000001_030310_leftImg8bit.png,frankfurt_000001_030310,clear,0.0,0.2053049504756927
frankfurt_000001_030669_leftImg8bit.png,frankfurt_000001_030669,clear,0.0,0.2190560847520828
frankfurt_000001_031266_leftImg8bit.png,frankfurt_000001_031266,clear,0.0,0.2283414453268051
frankfurt_000001_031416_leftImg8bit.png,frankfurt_000001_031416,clear,0.0,0.2105804532766342
frankfurt_000001_032018_leftImg8bit.png,frankfurt_000001_032018,clear,0.0,0.2083407044410705
frankfurt_000001_032556_leftImg8bit.png,frankfurt_000001_032556,clear,0.0,0.2286973744630813
frankfurt_000001_032711_leftImg8bit.png,frankfurt_000001_032711,clear,0.0,0.2303750663995742
frankfurt_000001_032942_leftImg8bit.png,frankfurt_000001_032942,clear,0.0,0.2407979667186737
frankfurt_000001_033655_leftImg8bit.png,frankfurt_000001_033655,clear,0.0,0.2251435816287994
frankfurt_000001_034047_leftImg8bit.png,frankfurt_000001_034047,clear,0.0,0.2116903662681579
frankfurt_000001_034816_leftImg8bit.png,frankfurt_000001_034816,clear,0.0,0.3874485194683075
frankfurt_000001_035144_leftImg8bit.png,frankfurt_000001_035144,clear,0.0,0.2383723109960556
frankfurt_000001_035864_leftImg8bit.png,frankfurt_000001_035864,clear,0.0,0.1543368399143219
frankfurt_000001_037705_leftImg8bit.png,frankfurt_000001_037705,clear,0.0,0.1869507730007171
frankfurt_000001_038245_leftImg8bit.png,frankfurt_000001_038245,clear,0.0,0.2237798571586609
frankfurt_000001_038418_leftImg8bit.png,frankfurt_000001_038418,clear,0.0,0.2170041054487228
frankfurt_000001_038645_leftImg8bit.png,frankfurt_000001_038645,clear,0.0,0.1602202653884887
frankfurt_000001_038844_leftImg8bit.png,frankfurt_000001_038844,clear,0.0,0.2324178516864776
frankfurt_000001_039895_leftImg8bit.png,frankfurt_000001_039895,clear,0.0,0.2088198065757751
frankfurt_000001_040575_leftImg8bit.png,frankfurt_000001_040575,clear,0.0,0.231889396905899
frankfurt_000001_040732_leftImg8bit.png,frankfurt_000001_040732,clear,0.0,0.2370013892650604
frankfurt_000001_041074_leftImg8bit.png,frankfurt_000001_041074,clear,0.0,0.23061403632164
frankfurt_000001_041354_leftImg8bit.png,frankfurt_000001_041354,clear,0.0,0.1829729378223419
frankfurt_000001_041517_leftImg8bit.png,frankfurt_000001_041517,clear,0.0,0.2413534522056579
frankfurt_000001_041664_leftImg8bit.png,frankfurt_000001_041664,clear,0.0,0.1996192932128906
frankfurt_000001_042098_leftImg8bit.png,frankfurt_000001_042098,clear,0.0,0.1880422085523605
frankfurt_000001_042384_leftImg8bit.png,frankfurt_000001_042384,clear,0.0,0.2167651057243347
frankfurt_000001_042733_leftImg8bit.png,frankfurt_000001_042733,clear,0.0,0.2188335806131363
frankfurt_000001_043395_leftImg8bit.png,frankfurt_000001_043395,clear,0.0,0.2160881161689758
frankfurt_000001_043564_leftImg8bit.png,frankfurt_000001_043564,clear,0.0,0.2210038900375366
frankfurt_000001_044227_leftImg8bit.png,frankfurt_000001_044227,clear,0.0,0.2223411500453949
frankfurt_000001_044413_leftImg8bit.png,frankfurt_000001_044413,clear,0.0,0.1521373689174652
frankfurt_000001_044525_leftImg8bit.png,frankfurt_000001_044525,clear,0.0,0.3007007241249084
frankfurt_000001_044658_leftImg8bit.png,frankfurt_000001_044658,clear,0.0,0.2671131491661072
frankfurt_000001_044787_leftImg8bit.png,frankfurt_000001_044787,clear,0.0,0.1766796857118606
frankfurt_000001_046126_leftImg8bit.png,frankfurt_000001_046126,clear,0.0,0.2594189941883087
frankfurt_000001_046272_leftImg8bit.png,frankfurt_000001_046272,clear,0.0,0.1894781738519668
frankfurt_000001_046504_leftImg8bit.png,frankfurt_000001_046504,clear,0.0,0.2039732933044433
frankfurt_000001_046779_leftImg8bit.png,frankfurt_000001_046779,clear,0.0,0.18567556142807
frankfurt_000001_047178_leftImg8bit.png,frankfurt_000001_047178,clear,0.0,0.1959367990493774
frankfurt_000001_047552_leftImg8bit.png,frankfurt_000001_047552,clear,0.0,0.2190676927566528
frankfurt_000001_048196_leftImg8bit.png,frankfurt_000001_048196,clear,0.0,0.2599617838859558
frankfurt_000001_048355_leftImg8bit.png,frankfurt_000001_048355,clear,0.0,0.2250384241342544
frankfurt_000001_048654_leftImg8bit.png,frankfurt_000001_048654,clear,0.0,0.2226132005453109
frankfurt_000001_049078_leftImg8bit.png,frankfurt_000001_049078,clear,0.0,0.263926088809967
frankfurt_000001_049209_leftImg8bit.png,frankfurt_000001_049209,clear,0.0,0.27068030834198
frankfurt_000001_049298_leftImg8bit.png,frankfurt_000001_049298,clear,0.0,0.2602066993713379
frankfurt_000001_049698_leftImg8bit.png,frankfurt_000001_049698,clear,0.0,0.2423763275146484
frankfurt_000001_049770_leftImg8bit.png,frankfurt_000001_049770,clear,0.0,0.2532271444797516
frankfurt_000001_050149_leftImg8bit.png,frankfurt_000001_050149,clear,0.0,0.2701763808727264
frankfurt_000001_050686_leftImg8bit.png,frankfurt_000001_050686,clear,0.0,0.2425635010004043
frankfurt_000001_051516_leftImg8bit.png,frankfurt_000001_051516,clear,0.0,0.3213506937026977
frankfurt_000001_051737_leftImg8bit.png,frankfurt_000001_051737,clear,0.0,0.2588706016540527
frankfurt_000001_051807_leftImg8bit.png,frankfurt_000001_051807,clear,0.0,0.2063807994127273
frankfurt_000001_052120_leftImg8bit.png,frankfurt_000001_052120,clear,0.0,0.2229911386966705
frankfurt_000001_052594_leftImg8bit.png,frankfurt_000001_052594,clear,0.0,0.2161649763584137
frankfurt_000001_053102_leftImg8bit.png,frankfurt_000001_053102,clear,0.0,0.224775418639183
frankfurt_000001_054077_leftImg8bit.png,frankfurt_000001_054077,clear,0.0,0.3028716146945953
frankfurt_000001_054219_leftImg8bit.png,frankfurt_000001_054219,clear,0.0,0.2131935805082321
frankfurt_000001_054415_leftImg8bit.png,frankfurt_000001_054415,clear,0.0,0.2297956049442291
frankfurt_000001_054640_leftImg8bit.png,frankfurt_000001_054640,clear,0.0,0.2227329015731811
frankfurt_000001_054884_leftImg8bit.png,frankfurt_000001_054884,clear,0.0,0.2208423465490341
frankfurt_000001_055062_leftImg8bit.png,frankfurt_000001_055062,clear,0.0,0.2307818830013275
frankfurt_000001_055172_leftImg8bit.png,frankfurt_000001_055172,clear,0.0,0.2775915861129761
frankfurt_000001_055306_leftImg8bit.png,frankfurt_000001_055306,clear,0.0,0.2859463393688202
frankfurt_000001_055387_leftImg8bit.png,frankfurt_000001_055387,clear,0.0,0.2662334740161896
frankfurt_000001_055538_leftImg8bit.png,frankfurt_000001_055538,clear,0.0,0.2775548100471496
frankfurt_000001_055603_leftImg8bit.png,frankfurt_000001_055603,clear,0.0,0.2741957604885101
frankfurt_000001_055709_leftImg8bit.png,frankfurt_000001_055709,clear,0.0,0.2484722286462783
frankfurt_000001_056580_leftImg8bit.png,frankfurt_000001_056580,clear,0.0,0.2745090126991272
frankfurt_000001_057181_leftImg8bit.png,frankfurt_000001_057181,clear,0.0,0.263537585735321
frankfurt_000001_057478_leftImg8bit.png,frankfurt_000001_057478,clear,0.0,0.2793378531932831
frankfurt_000001_057954_leftImg8bit.png,frankfurt_000001_057954,clear,0.0,0.2612417936325073
frankfurt_000001_058057_leftImg8bit.png,frankfurt_000001_058057,clear,0.0,0.2368854433298111
frankfurt_000001_058176_leftImg8bit.png,frankfurt_000001_058176,clear,0.0,0.2172988951206207
frankfurt_000001_058504_leftImg8bit.png,frankfurt_000001_058504,clear,0.0,0.1873683184385299
frankfurt_000001_058914_leftImg8bit.png,frankfurt_000001_058914,clear,0.0,0.219113141298294
frankfurt_000001_059119_leftImg8bit.png,frankfurt_000001_059119,clear,0.0,0.2183173894882202
frankfurt_000001_059642_leftImg8bit.png,frankfurt_000001_059642,clear,0.0,0.2475786954164505
frankfurt_000001_059789_leftImg8bit.png,frankfurt_000001_059789,clear,0.0,0.244863286614418
frankfurt_000001_060135_leftImg8bit.png,frankfurt_000001_060135,clear,0.0,0.2761990427970886
frankfurt_000001_060422_leftImg8bit.png,frankfurt_000001_060422,clear,0.0,0.284641295671463
frankfurt_000001_060545_leftImg8bit.png,frankfurt_000001_060545,clear,0.0,0.2973944544792175
frankfurt_000001_060906_leftImg8bit.png,frankfurt_000001_060906,clear,0.0,0.3045566976070404
frankfurt_000001_061682_leftImg8bit.png,frankfurt_000001_061682,clear,0.0,0.3025599122047424
frankfurt_000001_061763_leftImg8bit.png,frankfurt_000001_061763,clear,0.0,0.2882686853408813
frankfurt_000001_062016_leftImg8bit.png,frankfurt_000001_062016,clear,0.0,0.2727422714233398
frankfurt_000001_062250_leftImg8bit.png,frankfurt_000001_062250,clear,0.0,0.2112480998039245
frankfurt_000001_062396_leftImg8bit.png,frankfurt_000001_062396,clear,0.0,0.2417013943195343
frankfurt_000001_062509_leftImg8bit.png,frankfurt_000001_062509,clear,0.0,0.2206641584634781
frankfurt_000001_062653_leftImg8bit.png,frankfurt_000001_062653,clear,0.0,0.2488014250993728
frankfurt_000001_062793_leftImg8bit.png,frankfurt_000001_062793,clear,0.0,0.2160545438528061
frankfurt_000001_063045_leftImg8bit.png,frankfurt_000001_063045,clear,0.0,0.2331912070512771
frankfurt_000001_064130_leftImg8bit.png,frankfurt_000001_064130,clear,0.0,0.2174592912197113
frankfurt_000001_064305_leftImg8bit.png,frankfurt_000001_064305,clear,0.0,0.2731457650661468
frankfurt_000001_064651_leftImg8bit.png,frankfurt_000001_064651,clear,0.0,0.2318941056728363
frankfurt_000001_064798_leftImg8bit.png,frankfurt_000001_064798,clear,0.0,0.2224388569593429
frankfurt_000001_064925_leftImg8bit.png,frankfurt_000001_064925,clear,0.0,0.2175983488559723
frankfurt_000001_065160_leftImg8bit.png,frankfurt_000001_065160,clear,0.0,0.2130980491638183
frankfurt_000001_065617_leftImg8bit.png,frankfurt_000001_065617,clear,0.0,0.1952497810125351
frankfurt_000001_065850_leftImg8bit.png,frankfurt_000001_065850,clear,0.0,0.1684364676475525
frankfurt_000001_066092_leftImg8bit.png,frankfurt_000001_066092,clear,0.0,0.2001314461231231
frankfurt_000001_066438_leftImg8bit.png,frankfurt_000001_066438,clear,0.0,0.2683712244033813
frankfurt_000001_066574_leftImg8bit.png,frankfurt_000001_066574,clear,0.0,0.2837937176227569
frankfurt_000001_066832_leftImg8bit.png,frankfurt_000001_066832,clear,0.0,0.2156480699777603
frankfurt_000001_067092_leftImg8bit.png,frankfurt_000001_067092,clear,0.0,0.2009647339582443
frankfurt_000001_067178_leftImg8bit.png,frankfurt_000001_067178,clear,0.0,0.2086941599845886
frankfurt_000001_067295_leftImg8bit.png,frankfurt_000001_067295,clear,0.0,0.2066518068313598
frankfurt_000001_067474_leftImg8bit.png,frankfurt_000001_067474,clear,0.0,0.2345706224441528
frankfurt_000001_067735_leftImg8bit.png,frankfurt_000001_067735,clear,0.0,0.1838755011558532
frankfurt_000001_068063_leftImg8bit.png,frankfurt_000001_068063,clear,0.0,0.255999892950058
frankfurt_000001_068208_leftImg8bit.png,frankfurt_000001_068208,clear,0.0,0.2068351805210113
frankfurt_000001_068682_leftImg8bit.png,frankfurt_000001_068682,clear,0.0,0.2507150173187256
frankfurt_000001_068772_leftImg8bit.png,frankfurt_000001_068772,clear,0.0,0.227512314915657
frankfurt_000001_069633_leftImg8bit.png,frankfurt_000001_069633,clear,0.0,0.2320495247840881
frankfurt_000001_070099_leftImg8bit.png,frankfurt_000001_070099,clear,0.0,0.2203294485807418
frankfurt_000001_071288_leftImg8bit.png,frankfurt_000001_071288,clear,0.0,0.1933413445949554
frankfurt_000001_071781_leftImg8bit.png,frankfurt_000001_071781,clear,0.0,0.2591339349746704
frankfurt_000001_072155_leftImg8bit.png,frankfurt_000001_072155,clear,0.0,0.249973177909851
frankfurt_000001_072295_leftImg8bit.png,frankfurt_000001_072295,clear,0.0,0.2567640841007232
frankfurt_000001_073088_leftImg8bit.png,frankfurt_000001_073088,clear,0.0,0.2548519074916839
frankfurt_000001_073243_leftImg8bit.png,frankfurt_000001_073243,clear,0.0,0.1722139567136764
frankfurt_000001_073464_leftImg8bit.png,frankfurt_000001_073464,clear,0.0,0.1871694326400756
frankfurt_000001_073911_leftImg8bit.png,frankfurt_000001_073911,clear,0.0,0.2096288353204727
frankfurt_000001_075296_leftImg8bit.png,frankfurt_000001_075296,clear,0.0,0.2148873060941696
frankfurt_000001_075984_leftImg8bit.png,frankfurt_000001_075984,clear,0.0,0.2336640506982803
frankfurt_000001_076502_leftImg8bit.png,frankfurt_000001_076502,clear,0.0,0.2171304374933242
frankfurt_000001_077092_leftImg8bit.png,frankfurt_000001_077092,clear,0.0,0.2092658877372741
frankfurt_000001_077233_leftImg8bit.png,frankfurt_000001_077233,clear,0.0,0.2119076997041702
frankfurt_000001_077434_leftImg8bit.png,frankfurt_000001_077434,clear,0.0,0.2044317126274109
frankfurt_000001_078803_leftImg8bit.png,frankfurt_000001_078803,clear,0.0,0.2367748767137527
frankfurt_000001_079206_leftImg8bit.png,frankfurt_000001_079206,clear,0.0,0.2329213768243789
frankfurt_000001_080091_leftImg8bit.png,frankfurt_000001_080091,clear,0.0,0.2255917340517044
frankfurt_000001_080391_leftImg8bit.png,frankfurt_000001_080391,clear,0.0,0.2009675204753875
frankfurt_000001_080830_leftImg8bit.png,frankfurt_000001_080830,clear,0.0,0.2173546403646469
frankfurt_000001_082087_leftImg8bit.png,frankfurt_000001_082087,clear,0.0,0.2527869045734405
frankfurt_000001_082466_leftImg8bit.png,frankfurt_000001_082466,clear,0.0,0.2340124249458313
frankfurt_000001_083029_leftImg8bit.png,frankfurt_000001_083029,clear,0.0,0.264647364616394
frankfurt_000001_083199_leftImg8bit.png,frankfurt_000001_083199,clear,0.0,0.2723504602909088
frankfurt_000001_083852_leftImg8bit.png,frankfurt_000001_083852,clear,0.0,0.2272239923477172
lindau_000000_000019_leftImg8bit.png,lindau_000000_000019,clear,0.0,0.2239611148834228
lindau_000001_000019_leftImg8bit.png,lindau_000001_000019,clear,0.0,0.17852184176445
lindau_000002_000019_leftImg8bit.png,lindau_000002_000019,clear,0.0,0.1823303699493408
lindau_000003_000019_leftImg8bit.png,lindau_000003_000019,clear,0.0,0.2481679171323776
lindau_000004_000019_leftImg8bit.png,lindau_000004_000019,clear,0.0,0.2009773701429367
lindau_000005_000019_leftImg8bit.png,lindau_000005_000019,clear,0.0,0.2547477781772613
lindau_000006_000019_leftImg8bit.png,lindau_000006_000019,clear,0.0,0.2348063439130783
lindau_000007_000019_leftImg8bit.png,lindau_000007_000019,clear,0.0,0.2705859839916229
lindau_000008_000019_leftImg8bit.png,lindau_000008_000019,clear,0.0,0.1519194692373275
lindau_000009_000019_leftImg8bit.png,lindau_000009_000019,clear,0.0,0.137222334742546
lindau_000010_000019_leftImg8bit.png,lindau_000010_000019,clear,0.0,0.2042489498853683
lindau_000011_000019_leftImg8bit.png,lindau_000011_000019,clear,0.0,0.1079487651586532
lindau_000012_000019_leftImg8bit.png,lindau_000012_000019,clear,0.0,0.1822137683629989
