stem,filename,relpath,severity,bin,rtdetr_l,yolo_nano,yolov8s,recall_mean,group,median_brightness_score,orange_index_score,channel_spread_score,rms_contrast_score,upper_contrast_score
HC_Google_613,HC_Google_613.png,JPEGImages/HC_Google_613.png,0.1945907920598983,clear,0.1818181818181818,0.5454545454545454,0.6363636363636364,0.4545454545454545,intermediate,111.0,6.380709366391173,6.380709366391173,0.3054882502062098,0.3484246435814695
HEB_Baidu_534,HEB_Baidu_534.png,JPEGImages/HEB_Baidu_534.png,0.3222516477108001,light,0.875,0.875,0.875,0.875,clear,102.0,2.0014650283553834,2.0014650283553834,0.3182184781342605,0.3537989864173518
HEB_Bing_108,HEB_Bing_108.png,JPEGImages/HEB_Bing_108.png,0.2745571136474609,light,0.3636363636363636,0.4545454545454545,0.1818181818181818,0.3333333333333333,intermediate,139.0,60.27769510125134,60.27769510125134,0.22804017148560063,0.24395036619604477
HEB_Bing_122,HEB_Bing_122.png,JPEGImages/HEB_Bing_122.png,0.1899871677160263,clear,0.0,0.0,0.0,0.0,failure,95.0,49.554102830033685,49.554102830033685,0.28990573596087993,0.3172717281076099
HEB_Bing_340,HEB_Bing_340.png,JPEGImages/HEB_Bing_340.png,0.311462938785553,light,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,clear,141.0,18.909816633922716,18.909816633922716,0.2051907200174282,0.18734865381671623
HEB_Bing_365,HEB_Bing_365.png,JPEGImages/HEB_Bing_365.png,0.2984947562217712,light,0.5555555555555556,0.7777777777777778,0.6666666666666666,0.6666666666666666,intermediate,82.0,7.487010002703428,7.487010002703428,0.2779967912221006,0.2619332400843527
HEB_Bing_398,HEB_Bing_398.png,JPEGImages/HEB_Bing_398.png,0.2203696966171264,clear,0.1538461538461538,0.1538461538461538,0.3846153846153846,0.2307692307692307,failure,125.0,9.510266075388031,9.510266075388031,0.2685691735845617,0.30369856849720717
HEB_Bing_403,HEB_Bing_403.png,JPEGImages/HEB_Bing_403.png,0.2508193850517273,clear,0.0,0.0,0.0,0.0,failure,84.0,19.548504698808642,19.548504698808642,0.172113459229674,0.12782028312374513
HEB_Bing_560,HEB_Bing_560.png,JPEGImages/HEB_Bing_560.png,0.3152459263801574,light,0.625,0.75,0.875,0.75,clear,82.0,2.8583285330261248,3.799193548387109,0.2647808595196958,0.20884999351113814
HEB_Bing_653,HEB_Bing_653.png,JPEGImages/HEB_Bing_653.png,0.2426196038722992,clear,0.3368421052631579,0.0842105263157894,0.231578947368421,0.2175438596491227,failure,114.0,-4.436783837195563,9.738406044118861,0.22853521025448506,0.17323552919532842
HEB_Google_102,HEB_Google_102.png,JPEGImages/HEB_Google_102.png,0.1676497012376785,clear,0.0,0.0,0.0,0.0,failure,161.0,107.03217488867364,107.03217488867364,0.17830830128678318,0.1571763399927527
HEB_Google_399,HEB_Google_399.png,JPEGImages/HEB_Google_399.png,0.3456240594387054,light,0.1818181818181818,0.0,0.6363636363636364,0.2727272727272727,failure,116.0,5.033675895900899,7.2926997588758695,0.16745999110376922,0.17461861827691072
HEB_Google_556,HEB_Google_556.png,JPEGImages/HEB_Google_556.png,0.2948170006275177,light,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.4074074074074074,intermediate,71.0,0.41205792955480547,1.4305310209190054,0.10521119295352874,0.08161907697732255
HEB_Google_593,HEB_Google_593.png,JPEGImages/HEB_Google_593.png,0.3288871049880981,light,0.0,0.0,0.1666666666666666,0.0555555555555555,failure,171.0,-3.282997347480105,3.464652519893903,0.2912293695265834,0.27510566694290184
HF_Baidu_136,HF_Baidu_136.png,JPEGImages/HF_Baidu_136.png,0.2802595496177673,light,0.5,0.5,0.5,0.5,intermediate,85.0,-1.201026553199398,1.7803548177083286,0.28054636855363707,0.3466833982590353
HF_Baidu_202,HF_Baidu_202.png,JPEGImages/HF_Baidu_202.png,0.3047553896903991,light,0.0,0.0,0.25,0.0833333333333333,failure,94.0,2.783482195928002,4.410541109587697,0.14390670068397293,0.06965447881691893
HF_Bing_038,HF_Bing_038.png,JPEGImages/HF_Bing_038.png,0.1541048884391784,clear,0.0,0.4,0.2,0.2,failure,95.0,33.16499748617396,39.07610859728507,0.20036718806518655,0.1858568741688268
HF_Bing_141,HF_Bing_141.png,JPEGImages/HF_Bing_141.png,0.2142597734928131,clear,0.0,0.2,0.4,0.2,failure,204.0,116.9477053291536,116.9477053291536,0.29199874210498067,0.19129542509149847
HF_Bing_250,HF_Bing_250.png,JPEGImages/HF_Bing_250.png,0.1925361454486847,clear,0.0,0.0,0.0,0.0,failure,110.0,51.907243482753145,51.907243482753145,0.18925018300056468,0.16524110269082065
