stem,filename,relpath,severity,bin,rtdetr_l,yolo_nano,yolov8s,recall_mean,group
CD_Bing_139,CD_Bing_139.png,JPEGImages/CD_Bing_139.png,0.1903728246688842,clear,0.125,0.125,0.125,0.125,failure
CD_Bing_176,CD_Bing_176.png,JPEGImages/CD_Bing_176.png,0.3197567462921142,light,0.0,0.0,1.0,0.3333333333333333,intermediate
CD_Bing_177,CD_Bing_177.png,JPEGImages/CD_Bing_177.png,0.3021097183227539,light,0.0,0.5,0.8333333333333334,0.4444444444444445,intermediate
CD_Bing_214,CD_Bing_214.png,JPEGImages/CD_Bing_214.png,0.2355748116970062,clear,0.0,0.0,0.0,0.0,failure
CD_Bing_221,CD_Bing_221.png,JPEGImages/CD_Bing_221.png,0.2268723547458648,clear,0.0333333333333333,0.0,0.0,0.0111111111111111,failure
CD_Bing_292,CD_Bing_292.png,JPEGImages/CD_Bing_292.png,0.3202972114086151,light,0.0333333333333333,0.1333333333333333,0.2333333333333333,0.1333333333333333,failure
CD_Bing_436,CD_Bing_436.png,JPEGImages/CD_Bing_436.png,0.2127837240695953,clear,0.0,0.0,1.0,0.3333333333333333,intermediate
CD_Bing_501,CD_Bing_501.png,JPEGImages/CD_Bing_501.png,0.2959438264369964,light,0.6,0.5,0.5,0.5333333333333333,intermediate
CD_Bing_662,CD_Bing_662.png,JPEGImages/CD_Bing_662.png,0.2009433507919311,clear,0.0,0.0,0.5,0.16666666666666666,failure
CD_Bing_790,CD_Bing_790.png,JPEGImages/CD_Bing_790.png,0.3016315996646881,light,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,clear
CD_Google_372,CD_Google_372.png,JPEGImages/CD_Google_372.png,0.3336122035980224,light,0.0,0.0,0.0,0.0,failure
CD_Google_631,CD_Google_631.png,JPEGImages/CD_Google_631.png,0.2407607585191726,clear,0.5483870967741935,0.064516129032258,0.1612903225806451,0.2580645161290322,failure
CQ_Baidu_316,CQ_Baidu_316.png,JPEGImages/CQ_Baidu_316.png,0.3101922273635864,light,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7222222222222222,clear
CQ_Baidu_327,CQ_Baidu_327.png,JPEGImages/CQ_Baidu_327.png,0.1443065553903579,clear,0.0,0.5,1.0,0.5,intermediate
CQ_Bing_318,CQ_Bing_318.png,JPEGImages/CQ_Bing_318.png,0.3218657970428467,light,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.4444444444444444,intermediate
DJ_Baidu_179,DJ_Baidu_179.png,JPEGImages/DJ_Baidu_179.png,0.3142162561416626,light,0.0,0.0,0.0,0.0,failure
DJ_Bing_121,DJ_Bing_121.png,JPEGImages/DJ_Bing_121.png,0.286149799823761,light,0.6,0.6,0.8,0.6666666666666666,intermediate
DJ_Bing_127,DJ_Bing_127.png,JPEGImages/DJ_Bing_127.png,0.3004078567028045,light,0.5,0.5,1.0,0.6666666666666666,intermediate
